date,white,white elo,black,black elo,resultat,ECO,perf white,perf black,moves,opening,variation,year,nb
2021-02-25,joordigon,2418,yacine63,2291,0-1,A01,-8.0,7.0, b2b3 c7c5 c1b2 b8c6 c2c4 e7e5 b1c3 g7g6 g2g3 f8g7 f1g2 d7d6 d2d3 g8e7 e2e3 c8e6 c3d5 e8g8 g1e2 f7f5 d1d2 e6f7 e1g1 e7d5 c4d5 c6e7 e3e4 a8c8 a1c1 h7h6 f2f4 d8b6 g1h1 g8h7 f4e5 d6e5 g2h3 f7e8 e2g1 e8b5 f1f2 b6a6 c1c4 b5c4 b3c4 c8e8 g1f3 e7c8 e4f5 g6f5 f3h4 c8d6 h4f5 d6f5 h3f5 h7h8 b2c3 a6a3 h1g2 e8e7 f5g6 f8f2 g2f2 a7a6 f2g2 b7b5 c4b5 a6b5 g6e4 e7a7 d5d6 a3a2 d2a2 a7a2 g2f3 a2a6,Irregular,"just bad, nothing else",2021,1
2021-02-25,yacine63,2286,hamer13,2239,1-0,A40,5.0,-5.0, d2d4 e7e6 c2c4 d7d5 g2g3 c7c6 f1g2 f7f5 g1f3 g8f6 e1g1 f8d6 d1c2 e8g8 b1c3 f6e4 a1b1 b8d7 b2b4 b7b6 c4c5 b6c5 b4c5 d6c7 c1d2 c8a6 c2a4 e4c3 d2c3 a6e2 f1e1 e2b5 b1b5 c6b5 a4b5 f8e8 h2h4 d7f6 f3g5 f6e4 g5e4 f5e4 b5c6 c7a5 c3a5 d8a5 e1b1 a8c8 c6d7 a5c7 b1b7 c7d7 b7d7 c8a8 g2f1 g8f8 f1b5 e8e7 d7d6 f8f7 a2a4 g7g6 g1f1 f7f6 f1e2 f6f5 b5d7 f5f6 c5c6 f6f7 e2e3 a7a5 e3f4 h7h6 f4e5 a8a6 d7e6 f7e8 e5d5 a6a7 d5e4 a7c7 d4d5 g6g5 e4f5 e7g7 h4h5 e8e7 d6d7 c7d7 e6d7 e7d6 g3g4 d6d5 c6c7 g7f7 f5g6 f7d7 c7c8q d7d6 g6f5 d6c6 c8b7 d5c5 b7c6 c5c6 f2f4 g5f4 f5f4 c6d6 f4f5 d6e7 f5g6 e7f8 g6h6 f8f7 g4g5,English Opening,English,2021,1
2021-02-25,yacine63,2289,justiniano565,2422,0-1,D12,-3.0,4.0, d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 f3h4 f5g4 d1b3 d8b6 h2h3 g4h5 g2g4 h5g6 h4g6 h7g6 c1d2 f6g4 f1g2 g4f6 b3c2 b8d7 c4c5 b6c7 b2b4 f8e7 f2f4 g6g5 e1c1 g5f4 e3f4 g7g6 d1e1 b7b6 h1f1 b6c5 b4c5 a8b8 f1f3 b8b4 c3d5 f6d5 d2b4 d5b4 c2b2 b4d5 f3b3 c7f4 c1b1 e8g8 e1f1 f4h4 b3b7 f8d8 b7a7 e7f6 f1d1 d7c5 g2d5 d8d5 b2b8 d5d8 b8c7 d8d7 c7c8 d7d8 c8c7 c5d7 c7c6 d8b8 a7b7 b8b7 c6b7 d7f8 a2a4 h4h3 a4a5 h3f5 b1b2 f5a5 d1f1 f6d4,Queen's Gambit,Slave,2021,1
2021-02-25,CurtGruvaeus,2376,yacine63,2294,1-0,A08,4.0,-5.0, d2d4 e7e6 g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 e1g1 g8f6 c2c4 f8e7 c4d5 e6d5 d4c5 e7c5 d1c2 c5e7 f1d1 e8g8 b1c3 c8g4 h2h3 g4h5 c2b3 c6a5 b3a4 h5g6 f3h4 b7b5 c3b5 g6e4 g2e4 f6e4 h4f5 e7c5 b5d4 a5c4 b2b3 c4b6 a4b5 a8c8 c1f4 g7g5 f4e3 e4c3 b5d3 c3d1 a1d1 d8f6 g3g4 b6d7 d4f3 c5e3 d3e3 h7h6 d1d5 f8e8 e3a7 d7f8 f5d6 c8c1 g1g2 e8e2 d6c4 f8g6 d5f5 f6e6 a7a8 g8g7 f3d4 g6h4 g2g3 c1c3 g3h2,Irregular,ouvertures de flanc diverses,2021,1
2021-02-25,euro01,2194,yacine63,2301,1-0,C00,8.0,-7.0, e2e4 e7e6 f2f4 d7d5 e4e5 c7c5 g1f3 b8c6 c2c3 g8h6 d2d3 h6f5 f1e2 h7h5 e1g1 g7g6 b1a3 f8e7 c1d2 e8f8 a1b1 f8g7 a3c2 d5d4 c3c4 a7a5 a2a3 a5a4 d1e1 b7b6 b2b4 a4b3 b1b3 c8b7 e1b1 a8a6 b1b2 c6a5 d2a5 a6a5 b3b6 b7f3 e2f3 h5h4 f1b1 g6g5 f4g5 e7g5 f3e4 g5d2 e4f5 e6f5 b6b7 d8g5 e5e6 h4h3 b7f7 g7g6 c2e1 g5e3 g1f1 e3e6 b2d2 a5a3 b1b7 a3a1 f7g7 g6f6 d2g5 f6e5 g5g3 e5f6 g7g6,French,French e4 e6,2021,1
2021-02-25,yacine63,2295,Commissaire,2292,1-0,D30,6.0,-5.0, d2d4 d7d5 c2c4 e7e6 g2g3 c7c6 f1g2 d5c4 g1f3 b8d7 e1g1 b7b5 e2e4 c8b7 b1c3 f8b4 d4d5 b4c3 d5c6 b7c6 b2c3 c6e4 c1a3 d8a5 d1d6 a5b6 d6f4 g8f6 f1e1 e4d5 a1d1 d7c5 f3e5 e8g8 g2d5 f6d5 f4h4 f8d8 d1d4 d5f6 d4f4 c5d3 f4f6 g7f6 h4f6 b6f2 f6f2 d3f2 g1f2 d8d2 f2f3 d2a2 a3e7 a2h2 e1e4 f7f5 e4d4 h2c2 d4d7 c2c3 f3f4 a7a5 e7f6,Queen's Gambit,QGA,2021,1
2021-02-25,yacine63,2289,Peterolsson,2327,1-0,E04,6.0,-6.0, d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 c7c6 f3e5 f8b4 c1d2 b4d2 d1d2 e8g8 e1g1 a7a6 e5c4 b7b5 c4a5 d8b6 b2b4 a8a7 a5b3 f8d8 d2b2 b8d7 b1d2 f6d5 a2a3 b6c7 e2e4 d5f6 f2f4 d7b6 a1c1 b6a4 b2c2 c8b7 h2h3 c7b6 g1h2 g7g6 f4f5 f6h5 c2d3 b6c7 d3e3 a7a8 b3a5 a4b6 d2b3 b6d7 d4d5 e6d5 e4d5 c6c5 b3c5 d7c5 c1c5 c7b8 f5g6 h7g6 c5c3 b7d5 g2d5 d8d5 a5c6 b8d6 c6e7 g8f8 e7d5 d6d5 c3c7 f7f5 e3e7 f8g8 e7h7 g8f8 f1d1 d5a2 h2g1 a2b2 h7f7,Queen's Indian,Catalane,2021,1
2021-02-25,micoca,2266,yacine63,2295,1-0,A35,11.0,-6.0, c2c4 c7c5 b1c3 b8c6 g1f3 e7e5 e2e3 g8f6 d2d4 c5d4 e3d4 e5e4 f3g5 f8b4 d4d5 c6e5 d1d4 d7d6 g5e4 e8g8 c1g5 b4c3 b2c3 f8e8 g5f6 g7f6 f1e2 f6f5 e4g3 d8g5 f2f4 g5f4 d4f4 e5d3 e1d2 d3f4 h1f1 f4g2 f1g1 f5f4 g3h5 e8e2 d2e2 c8g4 e2f2 g4h5 g1g2 h5g6 g2g4 a8c8 g4f4 c8c5 f2e3 c5a5 f4f6 a5a6 c4c5 d6c5 f6a6 b7a6 d5d6 g8f8 e3f4 f8e8 f4e5 e8d7 a1f1 d7c6 f1f4,English Opening,English,2021,1
2021-02-25,yacine63,2300,equation_1972,2295,0-1,A37,-5.0,6.0, c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 d2d3 g8e7 e1g1 e8g8 a2a3 a7a5 f3e1 d7d6 e1c2 c8e6 c2e3 d8d7 e3d5 a8b8 c1e3 e6h3 a1b1 h3g2 g1g2 e7d5 c3d5 c6e7 b2b4 e7d5 c4d5 c5b4 a3b4 d7b5 b4a5 b5d5 f2f3 d5a5 e3b6 a5a3 b1b3 a3a2 b6c7 b8c8 c7d6 c8c2 f1e1 a2b3 d6f8 g7f8 g2f1 f8b4 d1b1 c2b2 b1d1 b4e1,English Opening,English,2021,1
2021-02-25,Wurzinger,2383,yacine63,2305,1-0,D00,5.0,-5.0, d2d4 d7d5 c1g5 c7c5 d4c5 h7h6 g5h4 d8a5 b1c3 e7e6 e2e4 f8c5 e4d5 c5b4 g1e2 e6d5 a2a3 b4c3 e2c3 c8e6 f1b5 b8c6 e1g1 g7g5 d1d4 f7f6 f1e1 e8f7 b5c6 b7c6 h4g3 a8e8 c3a4 g8e7 a4c5 e7f5 d4b4 a5b6 c5e6 e8e6 e1e6 f7e6 b4g4 b6b2 a1e1 e6f7 g4f5 h8e8 f5h7 f7f8 g3d6,Queen's Gambit,1.d4 d5,2021,1
